SEASON_1,PLAYER_ID,HOME_TEAM,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT,TIME_REMAINING
2021,1629628,False,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.34,5.995,23,1,2,56,2336
2021,203944,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,1.99,7.435,25,1,4,6,2406
2021,201565,False,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,-0.74,5.945,7,1,4,15,2415
2021,203493,False,False,Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.27,5.965,3,1,4,40,2440
2021,203944,False,False,Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.13,5.975,2,1,5,36,2496
2021,203493,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,24+ ft.,-1.35,7.925,25,1,6,9,2529
2021,203944,False,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,8-16 ft.,-0.78,7.165,15,1,7,6,2586
2021,203493,False,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.3600000000000003,6.445,24,1,7,28,2608
2021,203944,False,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side,8-16 ft.,1.11,6.035,11,1,8,0,2640
2021,1629628,False,True,Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.11,5.865,1,1,8,43,2683
2021,203493,False,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,24+ ft.,-2.34,5.935,23,1,9,13,2713
2021,1629628,False,True,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,-0.5900000000000001,5.985,6,1,9,38,2738
2021,203493,False,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,1.31,8.325,28,1,10,5,2765
2021,203944,False,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,16-24 ft.,1.86,6.405,19,1,10,33,2793
2021,203944,False,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,16-24 ft.,0.25,7.565,18,4,0,0,0
2021,202692,False,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,1.03,8.135,25,4,0,26,26
2021,203901,False,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.01,5.985,2,4,1,12,72
2021,203944,False,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,8-16 ft.,-0.11,6.765000000000001,9,4,1,40,100
2021,203901,False,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.14,6.465,7,4,2,48,168
2021,1629628,False,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,8-16 ft.,-0.85,6.095,9,4,3,28,208
2021,201565,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,24+ ft.,-0.0,8.405000000000001,26,4,4,13,253
2021,1629628,False,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,16-24 ft.,-0.89,7.605,20,4,4,42,282
2021,1629628,False,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,0.91,8.245000000000001,26,4,5,51,351
2021,201565,False,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.02,5.905,1,4,6,12,372
